att,p.adj.npdr.nosex,pval.npdr.nosex,beta.npdr.nosex,beta.raw.att.x,pval.gene.sex,p.adj.gene.sex
MTX3,0.005873594019461204,3.856848131499904e-7,4.942601664561569,4.037680179391767,6.2304e-7,0.0089094
PPP6R1,0.00739503060765832,4.855887193944658e-7,4.8975136813648055,5.056389654187985,3.6335e-7,0.0052217
CRBN,0.010277576337874116,6.748687594637938e-7,4.8324051173127565,4.7486889526992355,2.6021e-5,0.35334
NRG2,0.01184001150539135,7.774648043464016e-7,4.804160080519579,0.8820367290540105,0.75585,1
CXorf36,0.012122971242194374,7.960451272043058e-7,4.799431411351001,0.8119193622575289,1.8764e-51,2.8572e-47
UPP1,0.01244919371248258,8.174662625571332e-7,4.794109682993208,2.220180482868524,2.7597e-7,0.0039754
PLAC4,0.013632539440357796,8.951697051912664e-7,4.775869867570788,0.9094227847549754,0.024214,1
PLCH2,0.015174543645267933,9.964241673956224e-7,4.754261192068163,1.4862451749257872,2.7195e-7,0.003918
ZNF311,0.021817337539353127,1.4326178698110925e-6,4.680359204608717,1.0224077204731334,0.84178,1
CDCA3,0.02280454858149522,1.4974422865253937e-6,4.671277686500795,1.121036825983938,0.069998,1
THEM4,0.02295391478827495,1.5072502980021638e-6,4.669936603847669,2.360558625925942,0.065743,1
SHPK,0.02763231298832103,1.814453541816339e-6,4.631681883990116,2.5258111004592227,0.9558,1
CEP135,0.02876672974460469,1.8889441030011617e-6,4.623346026716853,3.3098269790948383,2.6048e-4,1
PLAA,0.030663699198947094,2.013507071964482e-6,4.610086561215756,4.145379225364968,1.6843e-5,0.23039
ADAMDEC1,0.031271013366446464,2.0533858668623328e-6,4.60600737779284,0.9819865324892645,0.0069126,1
BRP44L,0.04135092176362821,2.7152749204562485e-6,4.547527250798231,3.1303347578986545,0.062203,1
IL7R,0.045219839001055605,2.9693242498559068e-6,4.5286599915175465,2.6654373024486855,1.5833e-6,0.022436
X6.Sep,0.04533827591944738,2.9771013145608626e-6,4.528107128832204,3.1224745431369394,9.2224e-50,1.4038e-45
SNORD50A,0.046630760290681014,3.061971258170662e-6,4.52216206736532,0.8980122967624672,0.88223,1
