att,beta.npdr.sex,nlog10.sex.genes,sig.genes,p.adj.npdr.sex,MeanDecreaseAccuracy,MeanDecreaseGini,imp.genes
TCF7L1,7.950432751965238,-0,TCF7L1,6.31860485182412e-12,1.6311287418176847,0.14491993011250884,TCF7L1
TFPT,7.457962766027323,-0,TFPT,2.8958792137011686e-10,0.6055199209381564,0.07193083115910548,TFPT
IQCH.AS1,6.947395924103708,-0,IQCH.AS1,1.1942947418862614e-8,-0.01240726343981472,0.05123044399008813,IQCH.AS1
MXRA8,6.088125147878398,-0,MXRA8,3.5469365973536697e-6,-0.2702406117672807,0.05549860234607678,MXRA8
SH3BP5.AS1,5.869708256438254,-0,SH3BP5.AS1,1.3466182248005157e-5,1.0560349442338033,0.16988782982231548,SH3BP5.AS1
CCNI2,5.766588107620245,-0,CCNI2,2.4881147951118084e-5,1.8044908691323511,0.12349936408464603,CCNI2
NR2C2,5.702271379249016,-0,NR2C2,3.630114234159693e-5,-0.8516144409114923,0.24109786651030457,NR2C2
LOC148413,5.636682018824727,-0,LOC148413,5.3142163019529266e-5,1.0010015025043828,0.01677511244377811,LOC148413
PP7080,5.531076913425625,-0,PP7080,9.731303924660687e-5,0.7218034087826701,0.11387681639071885,PP7080
PEX1,5.529245729809526,-0,PEX1,9.832994005075786e-5,1.5951122956526458,0.1207145397280933,PEX1
SOX30,5.464939142057282,-0,SOX30,1.4136624699449569e-4,0,0.021843449012189525,SOX30
PTGER2,5.448212123640093,-0,PTGER2,1.5526472032837609e-4,-0.1419534496520114,0.05197325401544161,PTGER2
KLC2,5.40246767754925,-0,KLC2,2.0038089221906214e-4,-0.17820713804754143,0.1934336032867487,KLC2
SLC25A3,5.3137231986719256,-0,SLC25A3,3.2680676640989693e-4,-1.3505282413956052,0.02045125090515966,SLC25A3
MCM3AP.AS1,5.269676819468607,-0,MCM3AP.AS1,4.1544208265891874e-4,-1.666109051100466,0.20830573613836653,MCM3AP.AS1
TMED1,5.254449691971157,-0,TMED1,4.5118220334097546e-4,1.9935453548658877,0.18169180822847636,TMED1
OXR1,5.232001666980318,-0,OXR1,5.093471610411025e-4,1.2887003887736568,0.21450821179242444,OXR1
FAM13A,5.214268750227487,-0,FAM13A,5.60358710344363e-4,1.0211963263239945,0.1362331724331531,FAM13A
EIF2D,5.108252241652918,-0,EIF2D,9.85279342546039e-4,1.952338977978054,0.13904920994097447,EIF2D
MMP19,4.934339776600522,-0,MMP19,0.002429376700661671,1.6851074733615983,0.17321023555022869,MMP19
PEX10,4.817422949759156,-0,PEX10,0.004384493305661283,1.271692111019508,0.09033643964585389,PEX10
ACOT2,4.793885200725621,-0,ACOT2,0.0049301111268485395,1.0010015025043828,0.09340194343514463,ACOT2
AP1G2,4.7934429834489825,-0,AP1G2,0.00494096180533389,0.5880315341477718,0.02293246753246754,AP1G2
USP34,4.768441743374214,-0,USP34,0.0055931894077500535,0.31380863629876576,0.21806338601381034,USP34
AGBL5,4.723394912313232,-0,AGBL5,0.006982766953617798,0,0,AGBL5
LOC100506801,4.672429277398254,-0,LOC100506801,0.0089545338536795,0,0.003944444444444457,LOC100506801
LRRN2,4.600732778587206,-0,NA,0.012652385670864614,1.9563021160562293,0.15566422185127135,LRRN2
SH3PXD2A,4.5972321211793465,-0,NA,0.012866135453321445,0.7318228673056805,0.06073113642174961,SH3PXD2A
PDCD2,4.495902363833631,-0,NA,0.020789818783595006,0,0.007321008403361361,PDCD2
LOC645513,4.403520285915439,-0,NA,0.03192628510157964,1.4603262738240936,0.08866158458891672,LOC645513
ORM2,4.32189545690372,-0,NA,0.046325215530263184,-0.067267583778527,0.09440314954042592,ORM2
