att,beta.gene.mdd,beta.Z.att.x,pval.gene.mdd,p.adj.gene.mdd,beta.gene.sex.mdd,beta.Z.att.y,pval.gene.sex.mdd,p.adj.gene.sex.mdd,beta.gene.sex,beta.Z.att,pval.gene.sex,p.adj.gene.sex
GYLTL1B,27.47152284,4.255129309,2.0893e-5,0.015081,21.96712885,3.32413602,8.8693e-4,0.18073,41.84549076,5.93600766,2.9205e-9,1.0295e-7
KCNJ2,23.17972567,4.198389136,2.6882e-5,0.015081,16.23250171,2.81636446,0.0048571,0.2567,56.81337901,8.52321671,1.5518e-17,3.0298e-15
PIGT,-44.5898378,-4.240179629,2.2334e-5,0.015081,-34.25395679,-3.18531048,0.001446,0.1853,-86.72498841,-6.79840992,1.0578e-11,7.458e-10
PSMD7,-49.69180279,-4.169767003,3.0491e-5,0.015081,-41.9551653,-3.4738868,5.1298e-4,0.16408,-60.38699592,-4.54016098,5.6211e-6,6.5049e-5
RAB5B,-49.48663698,-4.153946657,3.2679e-5,0.015081,-43.74448688,-3.62599431,2.8785e-4,0.14141,-45.37719579,-3.55454038,3.7864e-4,0.0022578
RPS4Y2,-9.49388568,-4.183857984,2.866e-5,0.015081,2.55428036,0.59836284,0.5496,0.85485,-172.86545014,-12.16320219,4.8807e-34,2.5631e-31
SIGLEC7,-25.39038419,-4.168756908,3.0627e-5,0.015081,-23.20736061,-3.77489641,1.6007e-4,0.13605,-17.71383607,-2.70269649,0.0068780000000000004,0.024185
SPOP,-52.41113407,-4.155304206,3.2486e-5,0.015081,-49.38129927,-3.83746803,1.2431e-4,0.13605,-31.11965789,-2.32377751,0.020137,0.057119
TPRG1L,-36.13843186,-4.178238733,2.9378e-5,0.015081,-33.43152371,-3.82932248,1.285e-4,0.13605,-22.40463931,-2.45533885,0.014075,0.042913
CD86,-32.85616917,-4.124868646,3.7095e-5,0.015692,-30.18461376,-3.75615182,1.7255e-4,0.13605,-21.79137504,-2.54423967,0.010952,0.035208
GPATCH3,-40.65485606,-4.127430942,3.6684e-5,0.015692,-35.99816668,-3.60104761,3.1694e-4,0.14249,-37.97337593,-3.52147097,4.2916e-4,0.0024955
XCL2,13.17761095,4.128999143,3.6435e-5,0.015692,10.6538965,3.28538464,0.0010184,0.18073,18.23174177,5.39938252,6.6871e-8,1.5523e-6
LPAR6,25.417824800000002,4.093718547,4.2451e-5,0.017473,19.10228064,2.98240742,0.0028599,0.22221,50.01576293,6.98652044,2.8179e-12,2.2826e-10
CCDC76,40.31841535,4.04776267,5.171e-5,0.0175,31.79557022,3.12407755,0.0017836,0.19113,65.38203638,5.8615666300000004,4.5852e-9,1.5114e-7
CDC42EP4,-28.23040919,-4.05552225,5.0022e-5,0.0175,-21.82548474,-3.0526158,0.0022686,0.20203,-50.58996602,-6.30822311,2.8226e-10,1.2947e-8
EIF1AY,-9.3278442,-4.068924649,4.7231e-5,0.0175,5.1778528,1.11983678,0.26278,0.68105,-197.26542846,-11.23609567,2.7111e-29,1.1469e-26
ETF1,-60.57330751,-4.055160488,5.01e-5,0.0175,-46.6943377,-3.05403357,0.0022579,0.20203,-111.57639613,-6.35371445,2.1018e-10,9.9713e-9
