att,beta.gene.sex,pval.gene.sex,p.bon.gene.sex
TSIX,-0.98762166891,2.7001e-8,1.59602911e-4
MMEL1,3.291293396,8.7364e-7,0.00516408604
INE2,-2.88983101557,4.971e-6,0.029383581000000002
SDR39U1,5.56615635711,7.052e-6,0.041684372000000004
