att,beta.gene.sex,pval.gene.sex,p.bon.gene.sex
CENPBD1,-52.29307914,4.5128e-9,6.872543120000001e-5
WNT10A,27.89280524,4.5137e-9,6.87391373e-5
TAP1,44.26539599,4.5604e-9,6.94503316e-5
CCDC76,65.38203638,4.5852e-9,6.982801080000001e-5
HM13,-52.16888619,4.7058e-9,7.16646282e-5
LAMC3,-18.50366918,4.9556e-9,7.546883239999999e-5
NHLRC1,-30.26838099,4.9814e-9,7.58617406e-5
CD6,57.19664415,5.4572e-9,8.310769879999999e-5
TRIM25,45.97418202,5.5228e-9,8.41067212e-5
MAFG,-53.19963439,5.5676e-9,8.47889804e-5
ODF2L,55.46096472,5.6039e-9,8.534179309999999e-5
C15orf29,39.81450431,5.6475e-9,8.60057775e-5
KLHL21,-66.45234926,5.6744e-9,8.64154376e-5
DBNL,-60.91875,5.8435e-9,8.89906615e-5
CLN3,-82.1736755,5.8455e-9,8.90211195e-5
PTDSS1,-72.6957501,5.8834e-9,8.95982986e-5
CEP78,48.23130812,5.9154e-9,9.00856266e-5
CAMP,-18.34640356,6.0609e-9,9.23014461e-5
POM121,-68.14374821,6.0812e-9,9.261059480000001e-5
RTKN2,27.67651265,6.1419e-9,9.35349951e-5
WDR54,55.59023028,6.2428e-9,9.50716012e-5
LRP1,-49.2901206,6.2954e-9,9.58726466e-5
DOT1L,-75.07271755,6.342e-9,9.6582318e-5
FOXJ2,-72.98710816,6.4452e-9,9.81539508e-5
FAM53B,-68.22764304,6.4671e-9,9.84874659e-5
ZNF540,54.10289729,6.4798e-9,9.86808742e-5
MTMR14,-76.94831351,6.5382e-9,9.95702478e-5
SP110,41.63315843,6.937e-9,1.05643573e-4
VPS4A,-107.15649141,7.2605e-9,1.105701545e-4
FZD2,-39.96271682,7.3488e-9,1.119148752e-4
SLAMF6,55.88699266,7.3522e-9,1.1196665380000001e-4
HSF4,30.81637487,7.6195e-9,1.1603736549999999e-4
ABTB1,-61.57286112,7.7002e-9,1.172663458e-4
FAM54B,-66.93617326,7.8467e-9,1.194973943e-4
AJAP1,-17.14715634,7.8602e-9,1.197029858e-4
SUFU,-85.7328406,7.9469e-9,1.210233401e-4
NDUFA10,-68.35247935,8.0322e-9,1.223223738e-4
SPTBN5,25.75669848,8.1338e-9,1.238696402e-4
ATXN2,-70.86551339,8.2944e-9,1.263154176e-4
SMTNL1,19.13215639,8.3289e-9,1.268408181e-4
TCF7L2,-36.32292454,8.5762e-9,1.3060694979999998e-4
SEPN1,-69.49787572,8.7274e-9,1.329095746e-4
FAM201A,-24.09528717,8.7793e-9,1.336999597e-4
BBC3,-44.15214897,9.2662e-9,1.411149598e-4
SUPT6H,-67.66778059,9.5897e-9,1.4604154130000001e-4
PI4KA,-75.32833198,9.5981e-9,1.461694649e-4
SOX4,-35.72939941,9.7902e-9,1.490949558e-4
DNAH17,32.82658709,9.9128e-9,1.509620312e-4
CCDC136,32.20454251,1.0255e-8,1.56173395e-4
USP4,-72.82466732,1.0272e-8,1.5643228799999998e-4
RAVER1,-69.43334788,1.0612e-8,1.61610148e-4
STAMBPL1,55.19674524,1.0643e-8,1.6208224699999999e-4
SLC7A10,-16.41134922,1.0726e-8,1.63346254e-4
BCKDHA,-60.15576425,1.0901e-8,1.66011329e-4
TPCN2,-52.44894021,1.0945e-8,1.66681405e-4
REXO2,50.2843074,1.0998e-8,1.67488542e-4
HPSE2,15.15829338,1.1047e-8,1.68234763e-4
ZNF548,57.86405298,1.1071e-8,1.68600259e-4
SCML4,42.74001243,1.1482e-8,1.74859378e-4
MLLT1,-63.58857722,1.1646e-8,1.77356934e-4
ZFP36L1,61.94711607,1.1913e-8,1.8142307700000002e-4
TOP3A,-71.86130872,1.1966e-8,1.8223021399999998e-4
MARVELD1,-39.00060484,1.2755e-8,1.94245895e-4
GAL3ST4,38.13840037,1.2889e-8,1.96286581e-4
POM121C,-63.47267571,1.317e-8,2.0056592999999999e-4
TNS3,-58.19339156,1.3486e-8,2.05378294e-4
SVIL,-60.48324692,1.3744e-8,2.09307376e-4
ASL,-59.82391729,1.3968e-8,2.12718672e-4
CCDC64,53.33831715,1.4343e-8,2.18429547e-4
AP3M2,47.66034458,1.5118e-8,2.30232022e-4
HN1,51.50604531,1.5416e-8,2.34770264e-4
GNB1,-93.61186732,1.5551e-8,2.3682617900000003e-4
CELSR2,-39.72837024,1.5833e-8,2.41120757e-4
GTF3C2,-90.0803059,1.6033e-8,2.44166557e-4
CS,-73.81547271,1.6305e-8,2.4830884499999997e-4
CD226,45.01543922,1.6377e-8,2.49405333e-4
STK32B,-26.04323986,1.6538e-8,2.51857202e-4
PTK6,28.8011251,1.6702e-8,2.54354758e-4
CD40LG,45.73086561,1.685e-8,2.5660864999999997e-4
DHRS12,30.58572817,1.7162e-8,2.6136009799999997e-4
PFKFB2,-40.8240877,1.7211e-8,2.6210631900000004e-4
PARN,-65.06036701,1.746e-8,2.6589834e-4
ATG13,-81.30347759,1.7556e-8,2.6736032399999997e-4
GPR172B,17.47634696,1.7796e-8,2.71015284e-4
RPGRIP1,-29.64824951,1.8226e-8,2.77563754e-4
IRF9,35.92937902,1.8399e-8,2.8019837100000004e-4
MOSC2,18.97581962,1.8574e-8,2.82863446e-4
RNF44,-69.36410419,1.8958e-8,2.88711382e-4
PSKH1,-77.38493171,1.9772e-8,3.01107788e-4
LRRC42,-53.03665045,1.9881e-8,3.02767749e-4
DHX57,-59.96717436,1.9891e-8,3.02920039e-4
RBM3,-44.59220564,1.9979e-8,3.04260191e-4
GP5,-32.43468907,2.048e-8,3.1188992e-4
P2RY14,25.12617806,2.0736e-8,3.15788544e-4
CARD17,20.87786148,2.075e-8,3.1600175e-4
WSCD1,-16.17374585,2.1052e-8,3.20600908e-4
UBAP2,-69.9459462,2.1275e-8,3.23996975e-4
TNFRSF10A,51.59442464,2.1341e-8,3.25002089e-4
MED14,71.71389325,2.1701e-8,3.3048452900000003e-4
SLC35A2,-66.59160464,2.1976e-8,3.3467250400000004e-4
CIZ1,-65.64019017,2.1986e-8,3.34824794e-4
UCK2,-50.8527716,2.2161e-8,3.37489869e-4
RFPL2,17.73947071,2.2262e-8,3.39027998e-4
NADSYN1,-70.8469216,2.2263e-8,3.39043227e-4
CAPNS1,-58.9307281,2.2677e-8,3.4534803299999996e-4
AKT2,-98.94331885,2.2685e-8,3.45469865e-4
CHI3L1,-20.38282401,2.348e-8,3.5757692e-4
TM9SF4,-75.88653755,2.3976e-8,3.6513050399999996e-4
PRCC,-79.02078508,2.4079e-8,3.66699091e-4
CCDC125,-39.92487809,2.4376e-8,3.71222104e-4
NAA50,-68.74761243,2.4981e-8,3.80435649e-4
PTPRN2,-21.51317262,2.5086e-8,3.82034694e-4
IFFO1,-61.73299894,2.5208e-8,3.83892632e-4
TRPM2,-39.53972675,2.5571e-8,3.89420759e-4
VPS37C,-54.18582365,2.5875e-8,3.94050375e-4
MGC12982,36.48485704,2.5901e-8,3.94446329e-4
LOC100128881,31.69018045,2.5954e-8,3.9525346599999996e-4
ZBTB44,-53.94105352,2.6022e-8,3.96289038e-4
ST5,-20.57707595,2.6376e-8,4.0168010400000003e-4
FLJ36031,33.36357256,2.6422e-8,4.02380638e-4
RPS6KA2,-37.5669859,2.6623e-8,4.05441667e-4
ITM2A,34.16094743,2.6897e-8,4.09614413e-4
DNASE1L1,-67.26035037,2.7858e-8,4.24249482e-4
SUV420H1,-74.64595922,2.8556e-8,4.34879324e-4
FXR2,-75.70945128,2.8809e-8,4.38732261e-4
VDAC1,-62.65666356,2.9196e-8,4.4462588399999997e-4
APLP2,-59.88593996,2.922e-8,4.4499138e-4
SLC48A1,-36.26525591,2.9505e-8,4.49331645e-4
CABLES2,-57.18312787,2.9571e-8,4.50336759e-4
MAPKAPK3,-49.99941686,2.9732e-8,4.52788628e-4
CD74,-51.9360069,2.9917e-8,4.5560599300000003e-4
ADIPOR2,-81.44631267,2.9994e-8,4.5677862599999996e-4
PSMB8,50.32045297,3.0532e-8,4.6497182799999995e-4
CYB561,32.9942745,3.0556e-8,4.6533732399999997e-4
ATP8B2,69.8672187,3.0759e-8,4.6842881099999997e-4
FYB,78.29534965,3.1309e-8,4.76804761e-4
AKT1,-62.96372974,3.2213e-8,4.90571777e-4
FLT3LG,59.13335432,3.2294e-8,4.91805326e-4
NMRAL1,-43.28295871,3.2755e-8,4.988258949999999e-4
PER1,-32.07654504,3.2897e-8,5.00988413e-4
NKIRAS2,-84.02132307,3.3904e-8,5.163240159999999e-4
PAG1,49.92522505,3.4439e-8,5.24471531e-4
DLEC1,32.15769829,3.444e-8,5.2448676e-4
C17orf103,-37.30056702,3.5483e-8,5.40370607e-4
TNFAIP3,54.96642398,3.5519e-8,5.40918851e-4
MOGS,-76.64488005,3.655e-8,5.5661995e-4
JARID2,-53.51714452,3.6997e-8,5.63427313e-4
NBN,63.52629771,3.7534e-8,5.716052859999999e-4
IFIT1,19.31499413,3.775e-8,5.7489475e-4
DLD,-73.83091385,3.8181e-8,5.81458449e-4
RSAD2,19.86764084,3.8464e-8,5.85768256e-4
KIF27,-30.41322125,3.9152e-8,5.962458079999999e-4
TRADD,58.69395293,3.9552e-8,6.02337408e-4
GPR183,43.67186617,3.9718e-8,6.048654219999999e-4
ACPP,-33.05023042,4.0252e-8,6.12997708e-4
YLPM1,-51.24951072,4.0661e-8,6.19226369e-4
KLHL6,68.82360049,4.0699e-8,6.19805071e-4
WDTC1,-60.46544855,4.2791e-8,6.51664139e-4
MAP7,-24.86264604,4.3011e-8,6.55014519e-4
EIF4A1,-62.82205365,4.3416e-8,6.611822640000001e-4
ABHD5,-45.08937086,4.3993e-8,6.69969397e-4
PSEN2,-45.17453651,4.4691e-8,6.80599239e-4
VCP,-54.87285014,4.6204e-8,7.03640716e-4
TLE2,39.61510724,4.6243e-8,7.04234647e-4
CD93,-35.49758206,4.6422e-8,7.069606379999999e-4
SH3TC1,-44.22855229,4.6966e-8,7.15245214e-4
COL6A3,-26.45937007,4.7177e-8,7.18458533e-4
RAE1,-71.18390284,4.7695e-8,7.263471549999999e-4
ZNF662,-25.03746384,4.8489e-8,7.38438981e-4
BUB3,86.97095514,4.866e-8,7.4104314e-4
UNC13D,-69.99634368,4.8933e-8,7.45200657e-4
IL23A,44.92142242,4.93e-8,7.507897e-4
C9orf46,38.41885037,4.9322e-8,7.51124738e-4
STRN4,-75.04236433,5.0189e-8,7.64328281e-4
SNED1,-26.99054849,5.2805e-8,8.04167345e-4
BMP4,15.71587153,5.2807e-8,8.041978029999999e-4
HAVCR2,-43.82230519,5.3308e-8,8.11827532e-4
IGF2R,-49.43438295,5.3366e-8,8.12710814e-4
GOLPH3L,53.59790016,5.3851e-8,8.200968789999999e-4
IL1RN,37.61530559,5.427e-8,8.2647783e-4
NPDC1,19.63185985,5.5625e-8,8.47113125e-4
PDLIM7,-61.65797828,5.5769e-8,8.49306101e-4
COL9A2,-25.85548078,5.6063e-8,8.537834269999999e-4
KCTD20,-75.73884912,5.6128e-8,8.54773312e-4
SCYL1,-64.44065878,5.6525e-8,8.608192249999999e-4
TMCC3,-49.58825146,5.7946e-8,8.82459634e-4
WASF2,-52.04348295,5.9884e-8,9.119734359999999e-4
XAF1,25.00627233,6.1032e-8,9.29456328e-4
C21orf90,15.36042113,6.2257e-8,9.48111853e-4
LTF,-15.79550704,6.4058e-8,9.75539282e-4
PTGES,-15.49292704,6.4417e-8,9.81006493e-4
ISG15,22.30180694,6.5128e-8,9.91834312e-4
PLXNA1,48.84408513,6.5153e-8,9.92215037e-4
CSRNP1,35.14588791,6.588e-8,0.00100328652
ESM1,17.91054575,6.5928e-8,0.0010040175120000002
FAM69A,56.15525935,6.6674e-8,0.001015378346
C20orf11,-72.50343077,6.6769e-8,0.0010168251009999999
XCL2,18.23174177,6.6871e-8,0.001018378459
ZMYM3,-71.8337203,6.6969e-8,0.0010198709009999998
SP140,38.13164566,6.7244e-8,0.001024058876
ZC3HAV1,40.85429397,6.7311e-8,0.001025079219
EPHX1,-44.59048289,6.7339e-8,0.001025505631
DUSP6,-43.36129887,6.7442e-8,0.001027074218
ALS2CL,33.67588537,6.7839e-8,0.0010331201310000001
SYTL2,37.44491021,6.7895e-8,0.001033972955
ZMAT1,45.04414117,6.7899e-8,0.0010340338710000002
DYNC1H1,-63.37128991,6.8596e-8,0.001044648484
BCORL1,-52.12132165,6.8994e-8,0.001050709626
C17orf62,53.918247,6.9398e-8,0.0010568621419999999
VARS,-61.75518297,7.0835e-8,0.001078746215
CPXM1,-18.69616977,7.1178e-8,0.0010839697620000002
BMI1,60.19018347,7.216e-8,0.00109892464
COQ2,-46.79565104,7.3921e-8,0.0011257429090000002
DOK4,22.48720918,7.6668e-8,0.0011675769719999998
UBE2E2,-50.67295592,7.7604e-8,0.001181831316
SPAG6,15.38166682,7.7629e-8,0.001182212041
POF1B,16.29397149,7.8558e-8,0.0011963597819999998
DPYSL2,-51.85059979,7.8662e-8,0.0011979435980000001
STAT6,-69.18918451,7.8675e-8,0.0011981415749999999
TRAF7,-74.49797759,7.8944e-8,0.001202238176
CHIC1,47.33855628,7.897e-8,0.00120263413
UBE4B,-71.71058252,7.9328e-8,0.001208086112
RASSF2,-69.15990543,8.0721e-8,0.001229300109
NAALADL1,-37.76411937,8.215e-8,0.0012510623500000002
TBC1D13,-91.79145458,8.3338e-8,0.0012691544020000001
ARID1B,-82.59444934,8.4351e-8,0.001284581379
S1PR1,63.17947203,8.5681e-8,0.001304835949
NCOR2,-55.85080187,8.6627e-8,0.001319242583
PLXNB2,-48.41587209,8.6919e-8,0.001323689451
GPR155,35.23237007,8.7072e-8,0.0013260194880000001
CCDC107,41.06917825,8.901e-8,0.00135553329
TXNRD1,-71.08929793,9.03e-8,0.0013751787
PPP1R3B,50.32427736,9.2488e-8,0.001408499752
NDUFV1,-80.43518341,9.3785e-8,0.001428251765
CHRAC1,-62.08062505,9.8417e-8,0.001498792493
LCK,59.1744663,9.8548e-8,0.0015007874920000002
CNNM1,-15.30160073,9.9068e-8,0.001508706572
FZD6,-25.31131537,9.9097e-8,0.001509148213
SPEG,26.37855669,9.9286e-8,0.001512026494
ZNF204P,37.91053775,1.0094e-7,0.00153721526
HDAC6,-74.55131004,1.0095e-7,0.00153736755
TRPM4,20.19059405,1.0103e-7,0.00153858587
EIF4G1,-59.97013783,1.0384e-7,0.00158137936
NAMPT,53.30532907,1.041e-7,0.0015853389
TGFBI,-41.13796892,1.0428e-7,0.0015880801200000001
IRX3,-13.40352593,1.0462e-7,0.00159325798
ARHGEF10L,-48.50607709,1.0662e-7,0.00162371598
ADRBK2,-54.58932395,1.0788e-7,0.00164290452
SEPT5.GP1BB,-21.60803467,1.0818e-7,0.0016474732200000002
NUP62CL,17.32182905,1.0929e-7,0.00166437741
KIAA0895L,36.76696256,1.0956e-7,0.00166848924
SUMO3,-65.74796373,1.0967e-7,0.00167016443
DIAPH1,-59.48005979,1.1316e-7,0.00172331364
HSD11B1,15.21031016,1.1471e-7,0.00174691859
TSHZ3,-35.11438569,1.1485e-7,0.00174905065
TLK2,-71.09495107,1.1533e-7,0.00175636057
GABARAPL1,-43.2276375,1.1639e-7,0.00177250331
PRR12,-58.57781018,1.1645e-7,0.00177341705
TUBE1,52.98838904,1.1774e-7,0.00179306246
DGCR6L,49.04688672,1.1817e-7,0.00179961093
LRRC8C,58.21554244,1.1863e-7,0.00180661627
TNFRSF9,-28.07548695,1.1879e-7,0.0018090529099999998
HERC5,20.80184827,1.1905e-7,0.00181301245
HNRNPUL1,-68.46222402,1.1948e-7,0.00181956092
ZNF683,16.58253294,1.2032e-7,0.00183235328
PPM1H,-33.03950683,1.21e-7,0.001842709
CNGB1,14.17068652,1.2117e-7,0.0018452979299999998
CD209,27.82321292,1.216e-7,0.0018518464
PLCB2,-49.58191037,1.2274e-7,0.00186920746
CCDC47,-76.70780382,1.2297e-7,0.00187271013
BAG6,-35.73831478,1.2349e-7,0.00188062921
SPEN,-61.9235583,1.2362e-7,0.0018826089799999998
PRSS21,13.84116327,1.2446e-7,0.0018954013399999998
MEGF9,-57.24963473,1.2535e-7,0.00190895515
NF2,-66.04247865,1.266e-7,0.0019279914000000001
DCUN1D4,58.47877589,1.2722e-7,0.00193743338
TBXAS1,-48.30982897,1.3086e-7,0.00199286694
MICAL2,-26.09472002,1.3249e-7,0.00201769021
RAB22A,-83.1190704,1.3278e-7,0.00202210662
NKPD1,22.80782807,1.3452e-7,0.00204860508
RAP1GAP2,-65.27369213,1.3467e-7,0.00205088943
CENPO,-55.35443348,1.3845e-7,0.00210845505
SYN1,-19.89154714,1.3856e-7,0.00211013024
RAB37,-43.29235411,1.3898e-7,0.0021165264199999997
MYB,-27.56546997,1.4511e-7,0.00220988019
ACRC,32.56108737,1.4653e-7,0.00223150537
DFNB31,20.76593562,1.5129e-7,0.00230399541
PWWP2B,-51.24513802,1.5301e-7,0.00233018929
SLBP,-57.03702439,1.5393e-7,0.00234419997
ZMIZ1,-52.35860257,1.5393e-7,0.00234419997
SRPR,-69.30206168,1.5401e-7,0.00234541829
VSIG1,47.16196757,1.5402e-7,0.00234557058
KCNE3,-46.15699583,1.5516e-7,0.00236293164
SAP130,-57.86486556,1.5625e-7,0.00237953125
EIF4ENIF1,-65.25769392,1.5753e-7,0.0023990243700000003
CD47,83.98769749,1.5765e-7,0.0024008518500000004
RCC2,-66.8464179,1.6222e-7,0.0024704483800000003
PLOD3,-61.97882391,1.6287e-7,0.00248034723
LAX1,46.12942081,1.6401e-7,0.00249770829
KIAA1045,-19.83857158,1.6467e-7,0.00250775943
CRTC2,-74.43133465,1.6655e-7,0.0025363899499999997
HTT,-78.36395704,1.6785e-7,0.00255618765
PTPN18,-67.47678289,1.7047e-7,0.00259608763
SPRED2,-33.76111514,1.7095e-7,0.00260339755
RBP7,-29.56533019,1.7292e-7,0.00263339868
ADAM15,-34.57225741,1.7338e-7,0.00264040402
ALDH3A2,-65.80817557,1.7411e-7,0.0026515211899999997
AARS,-49.57093721,1.7463e-7,0.00265944027
OMA1,62.06718346,1.7932e-7,0.0027308642799999997
LCN2,-14.47612101,1.8009e-7,0.0027425906099999998
CTNNBIP1,-53.48439069,1.8021e-7,0.00274441809
TIMP3,-14.5449761,1.8386e-7,0.0028000039400000003
H19,-15.4730813,1.8539e-7,0.00282330431
TAF4,-59.63438144,1.8666e-7,0.0028426451400000003
HSPA7,16.64736752,1.8766e-7,0.00285787414
RBM16,-78.64932132,1.8932e-7,0.00288315428
KLF13,-70.17634869,1.9042e-7,0.00289990618
MYH9,-45.61861916,1.9143e-7,0.0029152874699999998
SLC36A4,-50.46776669,1.9247e-7,0.0029311256300000002
TRAF5,60.84928395,1.936e-7,0.0029483344
DLEU7,-24.38232868,1.9486e-7,0.0029675229400000004
BCL3,41.59096858,1.9539e-7,0.00297559431
ASB13,-42.82210568,1.9594e-7,0.0029839702599999997
OCIAD2,47.24741594,1.9877e-7,0.00302706833
PIK3CB,-67.93882449,2.036e-7,0.0031006244
SH3RF3,-24.46558535,2.0818e-7,0.00317037322
PATL2,26.94950244,2.0964e-7,0.00319260756
TNFSF13,-51.87478347,2.1012e-7,0.0031999174800000003
AFF1,49.32017121,2.1232e-7,0.00323342128
MYO1E,-35.85962941,2.1537e-7,0.00327986973
UBE2L6,27.96525629,2.1825e-7,0.0033237292500000004
AP2A1,-41.03406517,2.1897e-7,0.00333469413
ZCCHC2,32.30703508,2.1992e-7,0.00334916168
IFI6,19.29991962,2.2248e-7,0.00338814792
PLD1,-40.72048499,2.2596e-7,0.00344114484
TRAF1,42.3550918,2.2615e-7,0.00344403835
ACOX3,-49.67285871,2.2921e-7,0.00349063909
UBE2MP1,-56.07501266,2.3529e-7,0.00358323141
AACS,-51.523235,2.3573e-7,0.0035899321700000003
TSPYL5,-26.35008886,2.3592e-7,0.0035928256800000003
GALM,32.87885014,2.3704e-7,0.0036098821600000002
MREG,32.81505495,2.3976e-7,0.0036513050400000004
ZMYM4,-79.0042676,2.4162e-7,0.00367963098
C1orf127,-23.97333443,2.4364e-7,0.0037103935599999997
NONO,-70.26204793,2.4615e-7,0.0037486183500000003
KHDRBS1,-66.24495076,2.4724e-7,0.0037652179599999996
KIAA0368,-55.64955637,2.4828e-7,0.00378105612
TBC1D8,-37.0027904,2.4955e-7,0.0038003969500000003
GIGYF2,-67.56620504,2.503e-7,0.0038118187
S100A11,47.77404616,2.569e-7,0.0039123301
LYSMD2,39.28451167,2.5787e-7,0.00392710223
PYGM,35.8828703,2.5813e-7,0.00393106177
CTDSP1,-69.75477775,2.5888e-7,0.00394248352
BIRC3,47.87217554,2.5955e-7,0.00395268695
OLFM2,38.24678401,2.6126e-7,0.00397872854
FAM168B,-71.36568283,2.6328e-7,0.00400949112
SPECC1L,-64.27554669,2.6385e-7,0.00401817165
ANO10,-43.84754133,2.6417e-7,0.0040230449300000005
FCGR2A,39.13304991,2.6472e-7,0.00403142088
ATP5B,-58.5900708,2.6564e-7,0.00404543156
CTPS2,-46.28768407,2.6626e-7,0.00405487354
CECR1,-48.99609562,2.6857e-7,0.00409005253
PHF20,-67.49254158,2.7154e-7,0.0041352826600000005
ZNF746,-59.33182257,2.7161e-7,0.00413634869
PLCH2,-24.23332794,2.7195e-7,0.00414152655
COQ10A,52.25372904,2.7531e-7,0.00419269599
UPP1,36.81618417,2.7597e-7,0.00420274713
C14orf102,-45.91018234,2.7643e-7,0.00420975247
ZNF592,-72.11703516,2.8041e-7,0.00427036389
ST8SIA4,56.48995683,2.8076e-7,0.00427569404
FBP1,-33.42478883,2.8531e-7,0.00434498599
PRRC2B,-67.28320995,2.8575e-7,0.004351686749999999
C20orf118,37.78345382,2.8871e-7,0.00439676459
ZDHHC23,37.25578268,2.8881e-7,0.00439828749
BRF1,-77.77326148,2.9292e-7,0.0044608786800000005
UQCRC2,-62.27061828,3.0377e-7,0.004626113330000001
PANK4,-61.29740441,3.1308e-7,0.00476789532
LCOR,46.42988306,3.1541e-7,0.0048033788899999996
KIAA0319,24.7560707,3.1671e-7,0.00482317659
ITGB4,19.27307468,3.1998e-7,0.00487297542
UBAP2L,-66.59299232,3.2599e-7,0.00496450171
FGF9,20.16882606,3.2633e-7,0.00496967957
PDXK,-43.95573426,3.3028e-7,0.00502983412
FIBP,-66.31090581,3.3114e-7,0.005042931059999999
SAMSN1,46.01200949,3.3828e-7,0.00515166612
MMP9,-25.35730874,3.3859e-7,0.0051563871100000006
AMPD2,-40.34229502,3.3934e-7,0.00516780886
STK10,-66.08568417,3.4204e-7,0.005208927160000001
PLCB3,-50.75312562,3.429e-7,0.0052220241
G6PD,-46.68665233,3.4534e-7,0.00525918286
EXOC3L,19.87415158,3.4666e-7,0.00527928514
PRPF8,-61.1228768,3.4688e-7,0.00528263552
BRD3,-48.58812967,3.4693e-7,0.00528339697
KCMF1,-75.5996894,3.4745e-7,0.00529131605
FAM155B,13.97838513,3.4799e-7,0.00529953971
RGS16,18.11192969,3.4858e-7,0.00530852482
S100Z,-29.82310072,3.4966e-7,0.00532497214
NUMA1,-56.15235283,3.5734e-7,0.00544193086
BATF2,17.79691279,3.5918e-7,0.00546995222
LEPRE1,-63.48596166,3.6134e-7,0.00550284686
PPP6R1,-75.42561521,3.6335e-7,0.00553345715
ZNF185,-24.88364994,3.6526e-7,0.00556254454
RNF144B,-36.75816397,3.6681e-7,0.00558614949
INO80B,-60.55369853,3.6766e-7,0.00559909414
DCLRE1B,-53.86199437,3.6966e-7,0.00562955214
BFSP1,20.2841174,3.7457e-7,0.00570432653
MAST3,-48.31895905,3.7816e-7,0.00575899864
LOC255512,-21.95432284,3.8015e-7,0.005789304350000001
NUDT3,-50.57514526,3.8062e-7,0.00579646198
ZNF628,-46.30961957,3.9348e-7,0.00599230692
ITFG3,-65.02935131,3.9447e-7,0.00600738363
ATXN10,-65.02396144,3.9504e-7,0.00601606416
BAP1,-95.56618308,3.9511e-7,0.00601713019
HOXC4,19.46898967,3.962e-7,0.0060337298
SORCS3,-18.14633111,3.9625e-7,0.00603449125
AHNAK2,-22.72582533,4.0355e-7,0.006145662949999999
UPF1,-63.46730794,4.053e-7,0.0061723137
RHOA,-69.79830415,4.0549e-7,0.00617520721
LDHD,-19.27688061,4.056e-7,0.0061768824
FGD2,-46.79404467,4.0927e-7,0.00623277283
DNAH6,19.01011442,4.0951e-7,0.00623642779
GBP1,25.49865021,4.178e-7,0.0063626762
ARL6IP5,74.54085189,4.1985e-7,0.00639389565
POLDIP2,-72.49349253,4.234e-7,0.0064479585999999995
TRAPPC9,-43.85535485,4.2753e-7,0.00651085437
ATP6AP1,-56.07069298,4.2764e-7,0.00651252956
CRISP3,-15.27313589,4.2932e-7,0.00653811428
RNF187,-29.2297678,4.3417e-7,0.006611974929999999
FAM193A,-68.83958046,4.3617e-7,0.00664243293
NMI,35.67009971,4.442e-7,0.006764721800000001
ZFP36L2,-51.44413473,4.5109e-7,0.0068696496099999995
LOC390940,-16.80976504,4.6265e-7,0.00704569685
FGFR1OP,33.00498137,4.6438e-7,0.00707204302
EFTUD2,-57.17484703,4.6501e-7,0.00708163729
STAT4,48.94927094,4.6504e-7,0.00708209416
DHRS7B,-51.91627603,4.6583e-7,0.0070941250699999995
SNX17,-70.24579186,4.7315e-7,0.00720560135
PROK2,29.4000403,4.738e-7,0.007215500200000001
BCAS3,-52.31723649,4.7463e-7,0.00722814027
C22orf36,-20.0964414,4.7516e-7,0.007236211639999999
MIR766,14.21389972,4.8599e-7,0.007401141710000001
KIAA0513,-44.56983999,4.8702e-7,0.007416827579999999
UHRF1BP1L,-65.53731298,4.8918e-7,0.00744972222
X3.Mar,27.13072541,4.9426e-7,0.007527085540000001
HUWE1,-58.74945713,4.9627e-7,0.007557695830000001
LOC439949,26.63622489,4.9643e-7,0.0075601324700000005
C2orf18,-61.74220875,4.9776e-7,0.00758038704
DOCK1,-22.2837074,5.0407e-7,0.00767648203
VAMP5,28.82049568,5.0556e-7,0.007699173240000001
SNX9,-59.22257538,5.1196e-7,0.00779663884
SNX20,58.98615015,5.2221e-7,0.00795273609
TTC28,-26.81188469,5.2272e-7,0.00796050288
RAB11FIP5,27.15625822,5.2459e-7,0.00798898111
AEN,50.76106096,5.3614e-7,0.00816487606
CASP6,55.1146138,5.3838e-7,0.00819898902
LARP1,-55.45849036,5.5212e-7,0.00840823548
ETV7,14.51290797,5.5814e-7,0.00849991406
KCNC4,31.80983274,5.5837e-7,0.008503416730000001
LLGL2,47.23606023,5.685e-7,0.008657686500000001
CD80,15.638352,5.7228e-7,0.00871525212
FAM49A,-54.535582,5.7801e-7,0.008802514289999999
KLHL18,-65.90191884,5.7956e-7,0.00882611924
INPP5A,-52.20265312,5.8299e-7,0.00887835471
ERC1,-53.17457894,5.8447e-7,0.00890089363
PNPLA2,-35.32201973,5.8841e-7,0.00896089589
GJD3,-26.68714727,5.9732e-7,0.009096586280000001
KCNE1,-24.58082961,6.0079e-7,0.009149430909999999
SYTL1,-60.03414546,6.0307e-7,0.00918415303
KDM4B,-58.62311839,6.0929e-7,0.009278877409999999
ELOVL1,-77.53515146,6.1674e-7,0.009392333460000001
HDAC5,-53.46522985,6.2244e-7,0.00947913876
MTX3,56.07039484,6.2304e-7,0.009488276160000001
PLIN4,28.25820553,6.2967e-7,0.00958924443
RELB,36.937156709999996,6.3231e-7,0.009629448990000001
KDM4A,-59.99527549,6.4129e-7,0.009766205410000001
C16orf74,-29.53061844,6.4528e-7,0.00982696912
GCA,50.84924945,6.4872e-7,0.009879356879999999
MAML3,-48.40476119,6.5199e-7,0.00992915571
NDST1,-31.59078148,6.5817e-7,0.01002327093
JAK3,33.83054329,6.5907e-7,0.01003697703
SCAF1,-56.15430531,6.7103e-7,0.01021911587
