att,beta.gene.sex,pval.gene.sex,p.bon.gene.sex
CLCN7,-76.3633518,4.9323e-12,7.51139967e-8
IRS2,-40.66168551,5.107e-12,7.7774503e-8
SERPING1,24.84170657,5.515e-12,8.3987935e-8
ALDH4A1,-60.48178262,5.588e-12,8.5099652e-8
LRG1,45.46092233,5.7078e-12,8.69240862e-8
SEC16A,-82.16813428,6.1865e-12,9.42142085e-8
TIFA,52.47195376,6.5884e-12,1.003347436e-7
MYO5A,-93.27195548,6.8858e-12,1.048638482e-7
SLAMF1,57.86543438,7.0349e-12,1.071344921e-7
RASSF4,-57.78249812,8.6051e-12,1.310470679e-7
LOC400960,42.08034199,8.6474e-12,1.316912546e-7
ARID5B,63.37327462,9.0169e-12,1.373183701e-7
PPFIA3,40.10615988,9.0453e-12,1.377508737e-7
FAM13A,44.76971303,9.0509e-12,1.378361561e-7
LGR6,-37.22012634,9.0657e-12,1.380615453e-7
WDR52,58.08407673,9.5684e-12,1.4571716359999999e-7
PIGT,-86.72498841,1.0578e-11,1.61092362e-7
PLSCR1,37.81163614,1.1144e-11,1.69711976e-7
HDAC3,-107.71998993,1.1908e-11,1.81346932e-7
STIM1,-103.06016391,1.1912e-11,1.81407848e-7
HOPX,38.54365319,1.2538e-11,1.90941202e-7
SAMD9L,37.68487665,1.2542e-11,1.91002118e-7
SPESP1,-17.34146387,1.3258e-11,2.0190608200000001e-7
GBA2,-86.87475974,1.3707e-11,2.08743903e-7
GSK3A,-83.14059077,1.498e-11,2.2813042e-7
FXYD6,-40.68695102,1.5561e-11,2.3697846900000003e-7
C21orf29,21.48131056,1.6003e-11,2.43709687e-7
SEMA4C,72.25720318,1.6737e-11,2.54887773e-7
CASP5,24.79819726,1.7483e-11,2.66248607e-7
DGKG,-48.39394451,1.772e-11,2.6985788e-7
SLC22A4,41.24138798,1.8381e-11,2.79924249e-7
ATG9B,54.55452106,1.9425e-11,2.95823325e-7
CYP4F12,-25.59503854,2.0282e-11,3.08874578e-7
LILRA1,-59.77579786,2.1862e-11,3.32936398e-7
FCHO1,-80.89123575,2.2258e-11,3.3896708200000003e-7
CACNB3,34.65285277,2.3308e-11,3.54957532e-7
TMEM140,42.75688463,2.3521e-11,3.58201309e-7
