att,beta.npdr.sex,nlog10.sex.genes,sig.genes,p.adj.npdr.sex,MeanDecreaseAccuracy,MeanDecreaseGini,imp.genes
CDCA3,4.8005561256386144,-0,NA,0.012055085883308309,1.4794950383661285,0.1557225811134676,CDCA3
HM13,4.789038563736459,4.1580776883205495,HM13,0.012767893958543946,0.09613370296380307,0.10204727398234734,HM13
PPP6R1,4.7882734034657535,2.282188083123415,PPP6R1,0.012816657034440525,1.3376748903440876,0.0943796181735584,PPP6R1
MTX3,4.75989537926189,2.0501515423675203,MTX3,0.01475706760097312,1.8824118562871268,0.14401500120883806,MTX3
CAV2,4.753383534337087,-0,CAV2,0.015240588253624546,-0.28981353647275193,0.07395467199473259,CAV2
RPL13AP20,4.712985356283192,-0,NA,0.018598097380403317,0,0,RPL13AP20
UPP1,4.706923176158615,2.400619166616862,NA,0.0191595294293226,-1.2697270364791136,0.09140557847772238,UPP1
PLAC4,4.704479260524824,-0,NA,0.01939043677241877,0.3268802894095917,0.0608017789884187,PLAC4
SAP18,4.681934058659422,-0,NA,0.02165036830927091,1.439941383127825,0.11561388472912199,SAP18
ZNF311,4.651131149075008,-0,NA,0.02514986058176367,1.0010015025043828,0.018541666666666665,ZNF311
PLAA,4.623732475795305,0.6375363752447878,NA,0.028713165812623707,0.996967519408432,0.058155244072931746,PLAA
ZBTB37,4.618590213583787,-0,NA,0.029433804728271198,0.2728786548022482,0.07764094620500432,ZBTB37
BRP44L,4.612819172273031,-0,NA,0.030263204688387214,1.5908129078777686,0.14657409846661273,BRP44L
SHPK,4.588970249604366,-0,NA,0.03393443433564492,-0.9761414046659506,0.08379252560764874,SHPK
RPL7L1,4.570521323049438,-0,NA,0.03706330354775811,0.4376513524614872,0.05798116612853378,RPL7L1
ADAMDEC1,4.554711257647065,-0,NA,0.039962782847831724,-1.0010015025043828,0.04065131057252538,ADAMDEC1
ZNRF1,4.5451942002427534,-0,NA,0.04181157450866458,-0.24512955189933636,0.06231503957201982,ZNRF1
NOS3,4.52107858776981,17.720675334557388,NOS3,0.046870081379367,0.010615383229840882,0.10582547811219657,NOS3
SNORD50A,4.50890241564639,-0,NA,0.04964168400276697,-0.7975892555619923,0.07713014647030088,SNORD50A
