att,beta.npdr.sex,nlog10.sex.genes,sig.genes,p.adj.npdr.sex,MeanDecreaseAccuracy,MeanDecreaseGini,imp.genes
ZNF681,7.96631217976575,-0,ZNF681,1.2500328152788926e-11,-1.140555784537857,0.07887862140289575,ZNF681
SCAI,7.51759578143242,-0,SCAI,4.262500031156923e-10,-0.4137266259070139,0.143128053753929,SCAI
GYLTL1B,7.308961512515409,4.364345383881881,GYLTL1B,2.056055190781253e-9,2.507009835259717,0.24380624743128176,GYLTL1B
NR1H3,6.839286172790732,-0,NR1H3,6.074219781960527e-8,1.5822286184462253,0.14111071367479758,NR1H3
FRG1B,6.799442041801399,10.874291074027347,FRG1B,8.01510714687285e-8,-1.330596115194989,0.07476670074525933,FRG1B
DSTYK,6.632360463474403,-0,DSTYK,2.5206581237703396e-7,0.8072172809026726,0.045134290710362734,DSTYK
HECW2,6.474353038861014,-0,HECW2,7.26390027700766e-7,1.800488241725252,0.2180122660750793,HECW2
AMN,6.250554547766442,4.389606030287687,AMN,3.119347674188923e-6,1.1551689309513853,0.04596046864330403,AMN
H2AFV,6.214126808021347,-0,H2AFV,3.93611552640446e-6,0.24164805222618047,0.15996332179498698,H2AFV
KIAA1737,5.794983567323724,-0,KIAA1737,5.209085727213371e-5,-2.240595807866743,0.2303571597067499,KIAA1737
FAM53B,5.7290340200397605,4.020583663604371,FAM53B,7.699810795849244e-5,-0.45844674386352413,0.15658025835021333,FAM53B
RNF157,5.7134204554393655,0.30185594007549627,RNF157,8.440956647128726e-5,1.8636055840341301,0.22685446804333845,RNF157
C9orf41,5.692044789760321,-0,C9orf41,9.568972625174891e-5,0.13387859834001567,0.05066267573904055,C9orf41
MLF2,5.641065387478931,4.436364684391718,MLF2,1.2882537744407385e-4,-0.7214891847318969,0.12404698094344578,MLF2
ZNF254,5.6401760298572,5.669565932990288,ZNF254,1.2949246899265898e-4,1.491919464493719,0.11700547963690885,ZNF254
MCART6,5.611679332709022,-0,MCART6,1.5273563701990333e-4,0,0.0035555555555555553,MCART6
DPY19L4,5.573329304461791,-0,DPY19L4,1.9049568561330623e-4,1.5253381385095366,0.05523253515758133,DPY19L4
FAM113B,5.3994405045163445,1.3518645138582124,FAM113B,5.094874608942924e-4,-0.07835916480690151,0.11735322510150464,FAM113B
ZNF584,5.347498647214046,-0,ZNF584,6.796444800285129e-4,0.8889740739122743,0.06289713174269763,ZNF584
ZFHX3,5.330623831624869,4.6727637072529005,ZFHX3,7.45924897315336e-4,-1.001001502504383,0.003969924812030058,ZFHX3
RAB33B,5.329163198029949,-0,RAB33B,7.519474926255784e-4,1.3610860798632294,0.04606411181630503,RAB33B
ZNF558,5.301299463643956,-0,ZNF558,8.762706808831293e-4,1.3791822757068601,0.15347734676789299,ZNF558
C1orf151,5.259603272171078,-0,C1orf151,0.0011001868754429447,-0.3432779342786532,0.09887422678756716,C1orf151
SOCS1,5.249945849879956,-0,SOCS1,0.0011594499866640236,0.43710875950642125,0.1091378576789634,SOCS1
LOC220594,5.221576206936914,-0,LOC220594,0.0013519473287546017,-1.2888083155326344,0.06308506437051842,LOC220594
GPR15,5.21464037694865,-0,GPR15,0.0014035147707850417,0.2450089259386109,0.08915494154654963,GPR15
CEBPE,5.213607873821992,-0,CEBPE,0.0014113521471807804,-0.8834401608124329,0.06124441452969476,CEBPE
ZZZ3,5.173037365315935,-0,ZZZ3,0.001755121926224546,0.5354795146134899,0.02936677115987461,ZZZ3
RAI1,5.1652247072943975,6.212681243375452,RAI1,0.0018300321574794933,1.001001502504383,0.05611007597017835,RAI1
ZCCHC18,5.033630085895323,-0,ZCCHC18,0.0036672453434809646,-0.008343298227329484,0.02348826152825373,ZCCHC18
KIAA0895L,4.999850913273648,2.798357118161775,KIAA0895L,0.004371760574677226,0.7776148778580533,0.12438342908938944,KIAA0895L
CENPO,4.969152521577249,2.6976474220804376,CENPO,0.005123854793998492,-1.0010015025043828,0.014130553656869445,CENPO
THEM4,4.925018198591832,-0,THEM4,0.006427137155185026,0.024969199220827555,0.04945304090121873,THEM4
MCOLN3,4.920134802576162,5.743956101297969,MCOLN3,0.0065895756254213695,1.9346105140871388,0.24424549620148564,MCOLN3
TMCC3,4.885545812156864,3.073040511619724,TMCC3,0.007858681351030712,1.001001502504383,0.009748544453186469,TMCC3
PLCH2,4.814801530436585,2.4069355683412823,NA,0.011226270490970256,1.001001502504383,0.026035197100611914,PLCH2
NRG2,4.804201874405334,-0,NA,0.011837539156682193,-0.40075792357286094,0.04389181320231776,NRG2
