"iter","auRC.RForest","auRC.NPDR","auRC.Relief"
1,0.538095238095238,0.416190476190476,0.283809523809524
2,0.531904761904762,0.415714285714286,0.215238095238095
3,0.521428571428571,0.409047619047619,0.208095238095238
4,0.530476190476191,0.414761904761905,0.231428571428571
5,0.513333333333333,0.435238095238095,0.203809523809524
6,0.573809523809524,0.440952380952381,0.263333333333333
7,0.500476190476191,0.435238095238095,0.235714285714286
8,0.541904761904762,0.436190476190476,0.232380952380952
9,0.555238095238095,0.468095238095238,0.246666666666667
10,0.521904761904762,0.400952380952381,0.222380952380952
11,0.561428571428571,0.444285714285714,0.266666666666667
12,0.591904761904762,0.525238095238095,0.271904761904762
13,0.544761904761905,0.463333333333333,0.250952380952381
14,0.490952380952381,0.362857142857143,0.246190476190476
15,0.547619047619048,0.476666666666667,0.311904761904762
16,0.537142857142857,0.403809523809524,0.22952380952381
17,0.542857142857143,0.446190476190476,0.245238095238095
18,0.530476190476191,0.390952380952381,0.167619047619048
19,0.626190476190476,0.55,0.287619047619048
20,0.554761904761905,0.489047619047619,0.304761904761905
21,0.534761904761905,0.453809523809524,0.24
22,0.543809523809524,0.396190476190476,0.189047619047619
23,0.605714285714286,0.54,0.287619047619048
24,0.552380952380952,0.477619047619048,0.246190476190476
25,0.512380952380952,0.432857142857143,0.24047619047619
26,0.599047619047619,0.526190476190476,0.284285714285714
27,0.594761904761905,0.502857142857143,0.273809523809524
28,0.508095238095238,0.415714285714286,0.241428571428571
29,0.618571428571429,0.540952380952381,0.265238095238095
30,0.57047619047619,0.420476190476191,0.226190476190476
