"iter","auRC.RForest","auRC.NPDR","auRC.Relief"
1,0.555714285714286,0.635714285714286,0.424285714285714
2,0.610952380952381,0.686666666666667,0.478095238095238
3,0.58047619047619,0.701428571428571,0.386666666666667
4,0.589047619047619,0.641428571428571,0.475714285714286
5,0.583809523809524,0.640952380952381,0.416190476190476
6,0.627142857142857,0.725238095238095,0.508571428571429
7,0.561904761904762,0.62047619047619,0.432380952380952
8,0.594761904761905,0.654761904761905,0.467142857142857
9,0.572380952380952,0.637619047619048,0.428571428571429
10,0.603809523809524,0.71047619047619,0.448095238095238
11,0.565238095238095,0.605238095238095,0.382857142857143
12,0.613809523809524,0.59952380952381,0.489047619047619
13,0.511904761904762,0.604285714285714,0.41
14,0.583809523809524,0.708571428571429,0.443809523809524
15,0.651428571428571,0.724761904761905,0.500476190476191
16,0.526190476190476,0.612380952380952,0.384761904761905
17,0.608571428571429,0.653333333333333,0.427142857142857
18,0.591428571428571,0.693333333333333,0.432380952380952
19,0.612857142857143,0.696666666666667,0.445238095238095
20,0.558571428571429,0.611904761904762,0.38
21,0.570952380952381,0.62952380952381,0.424761904761905
22,0.505714285714286,0.607142857142857,0.396190476190476
23,0.584761904761905,0.657619047619048,0.418571428571429
24,0.580952380952381,0.705238095238095,0.436190476190476
25,0.599047619047619,0.688095238095238,0.455238095238095
26,0.558095238095238,0.63,0.414285714285714
27,0.589047619047619,0.664285714285714,0.477142857142857
28,0.57,0.688571428571429,0.43952380952381
29,0.544761904761905,0.634761904761905,0.420952380952381
30,0.62,0.740952380952381,0.46
