"iter","auRC.RForest","auRC.NPDR.MultiSURF","auRC.NPDR.Fixed.k","auRC.Relief"
1,0.780780780780781,0.948448448448448,0.956956956956957,0.967467467467467
2,0.4195,0.432,0.548,0.8625
3,0.459,0.69,0.8785,0.935
4,0.643,0.9535,0.833,0.8775
5,0.649,0.6945,0.668,0.8175
6,0.5205,0.8035,0.865,0.8665
7,0.748,0.7305,0.795,0.817
8,0.3825,0.914,0.954,0.8815
9,0.5405,0.872,0.888,0.975
10,0.2825,0.8265,0.7865,0.9095
11,0.399,0.869,0.875,0.865
12,0.3815,0.772,0.692,0.882
13,0.808,0.975,0.9745,0.991
14,0.5345,0.7005,0.762,0.918
15,0.5165,0.83,0.8325,0.482
16,0.5565,0.722,0.7145,0.852
17,0.3865,0.9635,0.955,0.9115
18,0.594094094094094,0.941441441441441,0.932932932932933,0.922422422422422
19,0.6245,0.7065,0.6355,0.8525
20,0.562,0.8745,0.946,0.8955
21,0.454,0.5895,0.4415,0.7825
22,0.949,0.8195,0.809,0.7085
23,0.373,0.945,0.9565,0.774
24,0.4995,0.637,0.766,0.8375
25,0.6435,0.9055,0.9345,0.933
26,0.3515,0.762,0.705,0.87
27,0.454954954954955,0.742242242242242,0.842342342342342,0.626626626626627
28,0.5585,0.8705,0.926,0.979
29,0.7965,0.9295,0.9655,0.9375
30,0.7605,0.745,0.877,0.785
