"iter","auRC.RForest","auRC.NPDR.MultiSURF","auRC.NPDR.Fixed.k","auRC.Relief"
1,0.555714285714286,0.635714285714286,0.637142857142857,0.548095238095238
2,0.610952380952381,0.686666666666667,0.682380952380952,0.648095238095238
3,0.58047619047619,0.701428571428571,0.703333333333333,0.615238095238095
4,0.589047619047619,0.641428571428571,0.642857142857143,0.59952380952381
5,0.583809523809524,0.640952380952381,0.646190476190476,0.551904761904762
6,0.627142857142857,0.725238095238095,0.724761904761905,0.66047619047619
7,0.561904761904762,0.62047619047619,0.624285714285714,0.542380952380952
8,0.594761904761905,0.654761904761905,0.656666666666667,0.555238095238095
9,0.572380952380952,0.637619047619048,0.655714285714286,0.593809523809524
10,0.603809523809524,0.71047619047619,0.710952380952381,0.630952380952381
11,0.565238095238095,0.605238095238095,0.607619047619048,0.527619047619048
12,0.613809523809524,0.59952380952381,0.602857142857143,0.580952380952381
13,0.511904761904762,0.604285714285714,0.601904761904762,0.555714285714286
14,0.583809523809524,0.708571428571429,0.707142857142857,0.634761904761905
15,0.651428571428571,0.724761904761905,0.725238095238095,0.65
16,0.526190476190476,0.612380952380952,0.612857142857143,0.539047619047619
17,0.608571428571429,0.653333333333333,0.660952380952381,0.591428571428571
18,0.591428571428571,0.693333333333333,0.691428571428571,0.585238095238095
19,0.612857142857143,0.696666666666667,0.692380952380952,0.584761904761905
20,0.558571428571429,0.611904761904762,0.625714285714286,0.54047619047619
21,0.570952380952381,0.62952380952381,0.638571428571429,0.615238095238095
22,0.505714285714286,0.607142857142857,0.612380952380952,0.559047619047619
23,0.584761904761905,0.657619047619048,0.664761904761905,0.592857142857143
24,0.580952380952381,0.705238095238095,0.709047619047619,0.632857142857143
25,0.599047619047619,0.688095238095238,0.693809523809524,0.603809523809524
26,0.558095238095238,0.63,0.635714285714286,0.574285714285714
27,0.589047619047619,0.664285714285714,0.667619047619048,0.604285714285714
28,0.57,0.688571428571429,0.695238095238095,0.626190476190476
29,0.544761904761905,0.634761904761905,0.628571428571429,0.562857142857143
30,0.62,0.740952380952381,0.733809523809524,0.648571428571429
