"iter","auRC.RForest","auRC.NPDR","auRC.Relief"
1,0.65,0.801428571428571,0.658095238095238
2,0.599047619047619,0.806666666666667,0.644285714285714
3,0.652380952380952,0.839523809523809,0.700952380952381
4,0.604761904761905,0.832857142857143,0.647142857142857
5,0.567142857142857,0.825238095238095,0.616190476190476
6,0.631904761904762,0.827142857142857,0.638571428571429
7,0.65,0.818571428571429,0.661904761904762
8,0.638571428571429,0.8,0.636190476190476
9,0.587619047619048,0.827619047619048,0.626190476190476
10,0.643333333333333,0.798571428571429,0.673809523809524
11,0.600952380952381,0.782380952380952,0.632380952380952
12,0.628571428571429,0.827619047619048,0.667619047619048
13,0.600952380952381,0.838571428571429,0.713333333333333
14,0.64,0.833809523809524,0.684761904761905
15,0.619523809523809,0.79952380952381,0.62
16,0.594761904761905,0.767619047619048,0.593809523809524
17,0.634761904761905,0.825714285714286,0.668095238095238
18,0.583809523809524,0.798095238095238,0.644285714285714
19,0.657619047619048,0.873809523809524,0.69
20,0.6,0.792857142857143,0.641904761904762
21,0.567619047619048,0.785238095238095,0.602857142857143
22,0.596666666666667,0.847619047619048,0.688571428571429
23,0.623809523809524,0.82952380952381,0.654285714285714
24,0.653333333333333,0.81,0.716666666666667
25,0.613333333333333,0.856190476190476,0.707619047619048
26,0.577619047619048,0.813809523809524,0.611428571428571
27,0.618095238095238,0.829523809523809,0.632380952380952
28,0.592857142857143,0.822380952380952,0.664285714285714
29,0.61,0.852857142857143,0.67
30,0.595238095238095,0.734285714285714,0.645238095238095
