"iter","auRC.RForest","auRC.NPDR.MultiSURF","auRC.NPDR.Fixed.k","auRC.Relief"
1,0.667142857142857,0.879047619047619,0.876666666666667,0.784761904761905
2,0.632380952380952,0.875714285714286,0.877142857142857,0.704285714285714
3,0.635238095238095,0.891428571428571,0.89,0.773333333333333
4,0.613809523809524,0.859047619047619,0.854761904761905,0.762380952380952
5,0.630476190476191,0.875238095238095,0.87,0.723333333333333
6,0.62952380952381,0.881428571428571,0.885714285714286,0.740476190476191
7,0.67,0.855714285714286,0.857142857142857,0.721904761904762
8,0.583333333333333,0.862380952380952,0.861904761904762,0.721904761904762
9,0.669047619047619,0.899047619047619,0.899047619047619,0.765714285714286
10,0.65047619047619,0.886190476190476,0.882380952380952,0.774761904761905
11,0.659047619047619,0.883333333333333,0.877619047619048,0.768571428571429
12,0.701428571428571,0.881904761904762,0.878571428571429,0.765714285714286
13,0.686666666666667,0.896666666666667,0.895238095238095,0.797619047619048
14,0.67047619047619,0.854761904761905,0.858571428571429,0.760476190476191
15,0.652380952380952,0.873809523809524,0.875714285714286,0.724761904761905
16,0.611428571428571,0.896190476190476,0.894285714285714,0.727142857142857
17,0.683809523809524,0.879523809523809,0.866190476190476,0.722380952380952
18,0.64952380952381,0.893809523809524,0.892857142857143,0.771428571428571
19,0.644761904761905,0.839523809523809,0.834761904761905,0.713333333333333
20,0.642380952380952,0.896666666666667,0.895238095238095,0.751428571428571
21,0.626666666666667,0.881428571428571,0.875714285714286,0.726666666666667
22,0.604761904761905,0.856190476190476,0.858571428571429,0.723333333333333
23,0.696666666666667,0.885714285714286,0.881904761904762,0.731904761904762
24,0.706666666666667,0.889523809523809,0.885714285714286,0.768571428571429
25,0.665238095238095,0.890952380952381,0.89,0.761428571428571
26,0.673333333333333,0.854761904761905,0.858095238095238,0.72047619047619
27,0.635714285714286,0.866666666666667,0.866190476190476,0.767142857142857
28,0.651904761904762,0.888571428571429,0.886190476190476,0.756666666666667
29,0.739523809523809,0.903333333333333,0.902380952380952,0.837142857142857
30,0.647619047619048,0.887142857142857,0.886190476190476,0.759523809523809
