"iter","auRC.RForest","auRC.NPDR.MultiSURF","auRC.NPDR.Fixed.k","auRC.Relief"
1,0.6465,0.5155,0.782,0.7345
2,0.594,0.6255,0.769,0.7315
3,0.525,0.529,0.319,0.457
4,0.6655,0.428,0.9285,0.469
5,0.6045,0.7455,0.8385,0.8635
6,0.4325,0.8325,0.7675,0.8775
7,0.776,0.8095,0.7745,0.8505
8,0.806,0.6035,0.8265,0.866
9,0.701,0.436,0.5245,0.4545
10,0.819,0.7365,0.4155,0.693
11,0.5195,0.271,0.8015,0.373
12,0.4555,0.636,0.9215,0.856
13,0.528,0.883,0.7815,0.9385
14,0.262,0.6035,0.894,0.828
15,0.8425,0.616,0.5465,0.497
16,0.5105,0.417,0.8855,0.781
17,0.844,0.5615,0.9565,0.7
18,0.4295,0.798,0.9755,0.913
19,0.549,0.7145,0.3955,0.7025
20,0.9665,0.9395,0.9445,0.968
21,0.97,0.4995,0.9775,0.785
22,0.516516516516517,0.429429429429429,0.723223223223223,0.751251251251251
23,0.5695,0.7215,0.8625,0.8485
24,0.434,0.6695,0.8435,0.8315
25,0.791,0.6685,0.9605,0.731
26,0.677,0.969,0.962,0.992
27,0.502002002002002,0.94994994994995,0.901901901901902,0.953453453453453
28,0.473,0.789,0.8,0.826
29,0.8195,0.675,0.953,0.852
30,0.4625,0.8535,0.7425,0.9185
