"iter","auRC.RForest","auRC.NPDR","auRC.Relief"
1,0.667142857142857,0.879047619047619,0.752380952380952
2,0.632380952380952,0.875714285714286,0.674761904761905
3,0.635238095238095,0.891428571428571,0.748095238095238
4,0.613809523809524,0.859047619047619,0.727619047619048
5,0.630476190476191,0.875238095238095,0.702380952380952
6,0.62952380952381,0.881428571428571,0.751428571428571
7,0.67,0.855714285714286,0.706190476190476
8,0.583333333333333,0.862380952380952,0.716190476190476
9,0.669047619047619,0.899047619047619,0.758095238095238
10,0.65047619047619,0.886190476190476,0.752857142857143
11,0.659047619047619,0.883333333333333,0.698095238095238
12,0.701428571428571,0.881904761904762,0.752380952380952
13,0.686666666666667,0.896666666666667,0.795714285714286
14,0.67047619047619,0.854761904761905,0.714285714285714
15,0.652380952380952,0.873809523809524,0.717142857142857
16,0.611428571428571,0.896190476190476,0.694285714285714
17,0.683809523809524,0.879523809523809,0.713809523809524
18,0.64952380952381,0.893809523809524,0.754761904761905
19,0.644761904761905,0.839523809523809,0.711904761904762
20,0.642380952380952,0.896666666666667,0.751428571428571
21,0.626666666666667,0.881428571428571,0.708571428571429
22,0.604761904761905,0.856190476190476,0.712857142857143
23,0.696666666666667,0.885714285714286,0.721428571428571
24,0.706666666666667,0.889523809523809,0.75
25,0.665238095238095,0.890952380952381,0.762857142857143
26,0.673333333333333,0.854761904761905,0.722857142857143
27,0.635714285714286,0.866666666666667,0.742380952380952
28,0.651904761904762,0.888571428571429,0.720952380952381
29,0.739523809523809,0.903333333333333,0.814285714285714
30,0.647619047619048,0.887142857142857,0.747142857142857
